"Wavelength, µm","n","k"
0.643,2.549701,1.199169
0.644,2.549787,1.200038
0.645,2.549874,1.20091
0.646,2.549963,1.201785
0.647,2.550054,1.202663
0.648,2.550146,1.203545
0.649,2.55024,1.204429
0.65,2.550336,1.205316
0.651,2.550433,1.206206
0.652,2.550532,1.207099
0.653,2.550632,1.207996
0.654,2.550735,1.208895
0.655,2.550839,1.209797
0.656,2.550945,1.210701
0.657,2.551052,1.211609
0.658,2.551162,1.21252
0.659,2.551272,1.213434
0.66,2.551385,1.21435
0.661,2.551499,1.215269
0.662,2.551615,1.216191
0.663,2.551733,1.217116
0.664,2.551853,1.218044
0.665,2.551974,1.218974
0.666,2.552097,1.219907
0.667,2.552222,1.220843
0.668,2.552348,1.221782
0.669,2.552476,1.222723
0.67,2.552606,1.223667
0.671,2.552738,1.224614
0.672,2.552872,1.225564
0.673,2.553007,1.226516
0.674,2.553144,1.22747
0.675,2.553283,1.228428
0.676,2.553423,1.229388
0.677,2.553566,1.23035
0.678,2.55371,1.231315
0.679,2.553856,1.232283
0.68,2.554004,1.233253
0.681,2.554153,1.234226
0.682,2.554305,1.235201
0.683,2.554458,1.236179
0.684,2.554613,1.23716
0.685,2.554769,1.238142
0.686,2.554928,1.239128
0.687,2.555088,1.240115
0.688,2.55525,1.241106
0.689,2.555414,1.242098
0.69,2.55558,1.243093
0.691,2.555748,1.24409
0.692,2.555917,1.24509
0.693,2.556088,1.246092
0.694,2.556262,1.247097
0.695,2.556437,1.248103
0.696,2.556613,1.249113
0.697,2.556792,1.250124
0.698,2.556972,1.251138
0.699,2.557154,1.252154
0.7,2.557339,1.253172
0.701,2.557525,1.254192
0.702,2.557712,1.255215
0.703,2.557902,1.25624
0.704,2.558094,1.257267
0.705,2.558287,1.258296
0.706,2.558482,1.259328
0.707,2.558679,1.260361
0.708,2.558878,1.261397
0.709,2.559079,1.262435
0.71,2.559282,1.263475
0.711,2.559486,1.264517
0.712,2.559693,1.265562
0.713,2.559901,1.266608
0.714,2.560111,1.267656
0.715,2.560323,1.268707
0.716,2.560537,1.269759
0.717,2.560753,1.270814
0.718,2.560971,1.27187
0.719,2.56119,1.272928
0.72,2.561412,1.273989
0.721,2.561635,1.275051
0.722,2.56186,1.276116
0.723,2.562087,1.277182
0.724,2.562316,1.27825
0.725,2.562547,1.27932
0.726,2.56278,1.280393
0.727,2.563014,1.281466
0.728,2.563251,1.282542
0.729,2.563489,1.28362
0.73,2.56373,1.284699
0.731,2.563972,1.285781
0.732,2.564216,1.286864
0.733,2.564462,1.287949
0.734,2.56471,1.289035
0.735,2.564959,1.290124
0.736,2.565211,1.291214
0.737,2.565465,1.292306
0.738,2.56572,1.2934
0.739,2.565978,1.294496
0.74,2.566237,1.295593
0.741,2.566498,1.296692
0.742,2.566761,1.297792
0.743,2.567026,1.298895
0.744,2.567293,1.299998
0.745,2.567562,1.301104
0.746,2.567832,1.302211
0.747,2.568105,1.30332
0.748,2.568379,1.30443
0.749,2.568656,1.305542
0.75,2.568934,1.306656
0.751,2.569214,1.307771
0.752,2.569496,1.308888
0.753,2.569781,1.310006
0.754,2.570066,1.311126
0.755,2.570354,1.312248
0.756,2.570644,1.31337
0.757,2.570935,1.314495
0.758,2.571229,1.315621
0.759,2.571525,1.316748
0.76,2.571822,1.317877
0.761,2.572121,1.319007
0.762,2.572422,1.320138
0.763,2.572725,1.321272
0.764,2.57303,1.322406
0.765,2.573337,1.323542
0.766,2.573646,1.324679
0.767,2.573956,1.325818
0.768,2.574269,1.326958
0.769,2.574584,1.328099
0.77,2.5749,1.329242
0.771,2.575218,1.330386
0.772,2.575538,1.331531
0.773,2.57586,1.332678
0.774,2.576184,1.333826
0.775,2.57651,1.334975
0.776,2.576838,1.336126
0.777,2.577168,1.337277
0.778,2.577499,1.33843
0.779,2.577832,1.339585
0.78,2.578168,1.34074
0.781,2.578505,1.341897
0.782,2.578844,1.343055
0.783,2.579185,1.344214
0.784,2.579528,1.345374
0.785,2.579872,1.346535
0.786,2.580219,1.347698
0.787,2.580567,1.348862
0.788,2.580918,1.350026
0.789,2.58127,1.351192
0.79,2.581624,1.35236
0.791,2.58198,1.353528
0.792,2.582338,1.354697
0.793,2.582698,1.355867
0.794,2.58306,1.357039
0.795,2.583423,1.358211
0.796,2.583788,1.359385
0.797,2.584156,1.360559
0.798,2.584525,1.361735
0.799,2.584896,1.362912
0.8,2.585268,1.364089
0.801,2.585643,1.365268
0.802,2.58602,1.366447
0.803,2.586398,1.367628
0.804,2.586778,1.36881
0.805,2.587161,1.369992
0.806,2.587545,1.371176
0.807,2.58793,1.37236
0.808,2.588318,1.373545
0.809,2.588708,1.374731
0.81,2.589099,1.375919
0.811,2.589492,1.377107
0.812,2.589887,1.378295
0.813,2.590284,1.379485
0.814,2.590683,1.380676
0.815,2.591084,1.381867
0.816,2.591486,1.38306
0.817,2.59189,1.384253
0.818,2.592297,1.385447
0.819,2.592705,1.386642
0.82,2.593114,1.387837
0.821,2.593526,1.389034
0.822,2.593939,1.390231
0.823,2.594354,1.391429
0.824,2.594771,1.392627
0.825,2.59519,1.393827
0.826,2.595611,1.395027
0.827,2.596033,1.396228
0.828,2.596458,1.39743
0.829,2.596884,1.398632
0.83,2.597312,1.399835
0.831,2.597741,1.401039
0.832,2.598173,1.402244
0.833,2.598606,1.403449
0.834,2.599041,1.404655
0.835,2.599478,1.405861
0.836,2.599917,1.407068
0.837,2.600357,1.408276
0.838,2.6008,1.409485
0.839,2.601243,1.410694
0.84,2.601689,1.411904
0.841,2.602137,1.413114
0.842,2.602586,1.414325
0.843,2.603037,1.415536
0.844,2.60349,1.416749
0.845,2.603945,1.417961
0.846,2.604401,1.419175
0.847,2.60486,1.420388
0.848,2.605319,1.421603
0.849,2.605781,1.422818
0.85,2.606245,1.424033
0.851,2.60671,1.425249
0.852,2.607177,1.426466
0.853,2.607646,1.427683
0.854,2.608116,1.4289
0.855,2.608588,1.430118
0.856,2.609062,1.431337
0.857,2.609538,1.432556
0.858,2.610015,1.433775
0.859,2.610494,1.434995
0.86,2.610975,1.436215
0.861,2.611458,1.437436
0.862,2.611942,1.438657
0.863,2.612428,1.439879
0.864,2.612916,1.441101
0.865,2.613405,1.442324
0.866,2.613896,1.443547
0.867,2.614389,1.44477
0.868,2.614884,1.445994
0.869,2.61538,1.447218
0.87,2.615878,1.448442
0.871,2.616378,1.449667
0.872,2.616879,1.450892
0.873,2.617382,1.452118
0.874,2.617887,1.453344
0.875,2.618393,1.45457
0.876,2.618901,1.455796
0.877,2.619411,1.457023
0.878,2.619922,1.458251
0.879,2.620435,1.459478
0.88,2.62095,1.460706
0.881,2.621466,1.461934
0.882,2.621984,1.463162
0.883,2.622504,1.464391
0.884,2.623025,1.46562
0.885,2.623548,1.466849
0.886,2.624073,1.468079
0.887,2.624599,1.469308
0.888,2.625127,1.470538
0.889,2.625657,1.471768
0.89,2.626188,1.472999
0.891,2.626721,1.47423
0.892,2.627255,1.475461
0.893,2.627791,1.476692
0.894,2.628329,1.477923
0.895,2.628868,1.479154
0.896,2.629409,1.480386
0.897,2.629952,1.481618
0.898,2.630496,1.48285
0.899,2.631042,1.484082
0.9,2.631589,1.485315
0.901,2.632138,1.486547
0.902,2.632689,1.48778
0.903,2.633241,1.489013
0.904,2.633794,1.490246
0.905,2.63435,1.491479
0.906,2.634907,1.492712
0.907,2.635465,1.493946
0.908,2.636025,1.495179
0.909,2.636586,1.496413
0.91,2.63715,1.497646
0.911,2.637714,1.49888
0.912,2.638281,1.500114
0.913,2.638849,1.501348
0.914,2.639418,1.502582
0.915,2.639989,1.503816
0.916,2.640561,1.50505
0.917,2.641135,1.506285
0.918,2.641711,1.507519
0.919,2.642288,1.508753
0.92,2.642867,1.509988
0.921,2.643447,1.511222
0.922,2.644028,1.512457
0.923,2.644612,1.513691
0.924,2.645196,1.514926
0.925,2.645782,1.51616
0.926,2.64637,1.517395
0.927,2.64696,1.518629
0.928,2.64755,1.519864
0.929,2.648143,1.521099
0.93,2.648736,1.522333
0.931,2.649332,1.523568
0.932,2.649928,1.524802
0.933,2.650527,1.526037
0.934,2.651126,1.527271
0.935,2.651727,1.528506
0.936,2.65233,1.52974
0.937,2.652934,1.530974
0.938,2.65354,1.532208
0.939,2.654147,1.533443
0.94,2.654755,1.534677
0.941,2.655365,1.535911
0.942,2.655977,1.537145
0.943,2.65659,1.538379
0.944,2.657204,1.539613
0.945,2.65782,1.540846
0.946,2.658437,1.54208
0.947,2.659055,1.543314
0.948,2.659676,1.544547
0.949,2.660297,1.54578
0.95,2.66092,1.547014
0.951,2.661544,1.548247
0.952,2.66217,1.54948
0.953,2.662797,1.550713
0.954,2.663426,1.551945
0.955,2.664056,1.553178
0.956,2.664687,1.55441
0.957,2.66532,1.555643
0.958,2.665954,1.556875
0.959,2.66659,1.558107
0.96,2.667227,1.559339
0.961,2.667865,1.56057
0.962,2.668505,1.561802
0.963,2.669146,1.563033
0.964,2.669789,1.564264
0.965,2.670433,1.565495
0.966,2.671078,1.566726
0.967,2.671725,1.567957
0.968,2.672373,1.569187
0.969,2.673022,1.570417
0.97,2.673673,1.571647
0.971,2.674325,1.572877
0.972,2.674978,1.574107
0.973,2.675633,1.575336
0.974,2.676289,1.576565
0.975,2.676946,1.577794
0.976,2.677605,1.579023
0.977,2.678265,1.580251
0.978,2.678926,1.581479
0.979,2.679589,1.582707
0.98,2.680253,1.583935
0.981,2.680919,1.585163
0.982,2.681585,1.58639
0.983,2.682253,1.587617
0.984,2.682923,1.588844
0.985,2.683593,1.59007
0.986,2.684265,1.591296
0.987,2.684938,1.592522
0.988,2.685613,1.593748
0.989,2.686289,1.594973
0.99,2.686965,1.596198
0.991,2.687644,1.597423
0.992,2.688323,1.598648
0.993,2.689004,1.599872
0.994,2.689687,1.601096
0.995,2.69037,1.602319
0.996,2.691055,1.603543
0.997,2.691741,1.604766
0.998,2.692428,1.605988
0.999,2.693116,1.607211
1,2.693806,1.608433
1.0025,2.695535,1.611487
